index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
0,我不是药神,2018,文牧野,韩家女/钟伟/文牧野,徐峥/王传君/周一围/谭卓/章宇/杨新鸣/王佳佳/王砚辉/贾晨飞/龚蓓苾/宁浩/李乃文/岳小军/苇青/富冠铭/巴拉特·巴蒂/喜利图/张海艳/朱耕佑,剧情/喜剧,普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。,117分钟,2018-07-05(中国大陆)/2018-06-30(大规模点映), 中国大陆, 汉语普通话 / 英语 / 上海话 / 印地语,1551579.0,9.0,57.9%,34.6%,6.8%,0.5%,0.2%,411495.0,16772.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
1,绿皮书 Green Book,2018,彼得·法雷里,尼克·瓦莱隆加/布莱恩·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。,130分钟,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国), 美国, 英语 / 意大利语 / 俄语 / 德语,1129289.0,8.9,54.7%,38.2%,6.6%,0.3%,0.1%,282201.0,6195.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
2,何以为家 كفرناحوم,2018,娜丁·拉巴基,娜丁·拉巴基/吉哈德·霍加里/米歇尔·凯斯沃尼/乔治斯·哈巴兹/哈立德·穆扎纳,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,剧情,法庭上，十二岁的男孩赞恩向法官状告他的亲生父母，原因是，他们给了他生命。是什么样的经历让一个孩子做出如此不可思议的举动？故事中，赞恩的父母在无力抚养和教育的状况下依然不停生育，作为家中的长子赞恩，弱小的肩膀承担了无数生活的重压。当妹妹被强行卖给商贩为妻时，赞恩愤怒离家，之后遇到一对没有合法身份的母子，相互扶持勉强生活。然而生活并没有眷顾赞恩，重重磨难迫使他做出了令人震惊的举动……,126分钟,2019-04-29(中国大陆)/2018-05-17(戛纳电影节)/2018-09-20(黎巴嫩), 黎巴嫩 / 法国 / 美国, 阿拉伯语 / 阿姆哈拉语,705231.0,9.1,61.6%,33.1%,4.9%,0.3%,0.1%,179517.0,4154.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
3,红海行动,2018,林超贤,冯骥/陈珠珠/林明杰,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖,动作/战争,中东国家伊维亚共和国发生政变，武装冲突不断升级。刚刚在索马里执行完解救人质任务的海军护卫舰临沂号，受命前往伊维亚执行撤侨任务。舰长高云（张涵予 饰）派出杨锐（张译 饰）率领的蛟龙突击队登陆战区，护送华侨安全撤离。谁知恐怖组织扎卡却将撤侨部队逼入交火区，一场激烈的战斗在所难免。与此同时，法籍华人记者夏楠（海清 饰）正在伊维亚追查威廉·柏森博士贩卖核原料的事实，而扎卡则突袭柏森博士所在的公司，意图抢走核原料。混战中，一名隶属柏森博士公司的中国员工成为人质。为了解救该人质，八名蛟龙队员必须潜入有150名恐怖分子的聚集点，他们用自己的信念和鲜血铸成中国军人顽强不屈的丰碑！,138分钟,2018-02-16(中国大陆)/2020-07-24(中国大陆重映), 中国大陆 / 中国香港, 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语,830273.0,8.3,38.0%,42.4%,16.5%,2.3%,0.9%,222154.0,5985.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg
4,头号玩家 Ready Player One,2018,史蒂文·斯皮尔伯格,扎克·佩恩/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·伊内森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,故事发生在2045年，虚拟现实技术已经渗透到了人类生活的每一个角落。詹姆斯哈利迪（马克·里朗斯 Mark Rylance 饰）一手建造了名为“绿洲”的虚拟现实游戏世界，临终前，他宣布自己在游戏中设置了一个彩蛋，找到这枚彩蛋的人即可成为绿洲的继承人。要找到这枚彩蛋，必须先获得三把钥匙，而寻找钥匙的线索就隐藏在詹姆斯的过往之中。,140分钟,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国), 美国, 英语 / 日语 / 汉语普通话,1043732.0,8.7,48.4%,38.0%,12.1%,1.2%,0.4%,259870.0,6161.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
5,调音师 Andhadhun,2018,斯里兰姆·拉格万,阿里吉特·比沙什/约戈什·查德卡尔/斯里兰姆·拉格万/赫曼斯·饶/普哈·拉达·瑟蒂/奥利维耶·特雷内 ,阿尤斯曼·库拉纳/塔布/拉迪卡·艾普特/安尔·德霍万/马纳夫·维吉/阿什维尼·卡尔塞卡/查亚·卡达姆/萨基尔·侯赛因/拉什米·阿格德卡/莫希尼·凯瓦拉曼,喜剧/悬疑/惊悚/犯罪,双目失明的钢琴家阿卡什（阿尤斯曼·库拉纳 Ayushmann Khurrana 饰）为了参加国际大赛，平日里通过私人授课赚取经费。事实上他的眼睛完全正常，只不过希望通过这种方式感受不同的生活。因为一场意外，阿卡什结识了美丽的姑娘苏菲（拉迪卡·艾普特 Radhika Apte 饰）。凭借出色的演奏技巧，阿卡什在苏菲父亲经营的西餐馆谋得兼职。他的演奏不仅令食客们倾倒，更虏获了苏菲的心。某天，阿卡什接受过气的影星普拉默（安尔·德霍万 Anil Dhawan 饰）的邀请，登门为对方的妻子西米（塔布 Tabu 饰）演奏庆生，谁知却亲眼目睹了倒在血泊中的普拉默的尸体。惊慌失措的阿卡什假装镇定，虽然暂时骗过了西米及其情夫，但是他的秘密还是慢慢被人戳穿……,139分钟,2019-04-03(中国大陆)/2018-10-05(印度), 印度, 印地语 / 英语,701087.0,8.3,33.8%,48.9%,15.5%,1.6%,0.3%,182609.0,2966.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg
6,西虹市首富,2018,闫非/彭大魔,闫非/彭大魔/林炳宝,沈腾/宋芸桦/张一鸣/张晨光/常远/魏翔/赵自强/九孔/李立群/王成思/徐冬冬/艾伦/杨皓宇/黄才伦/王力宏/包贝尔/郎咸平/张绍刚/杨文哲/陶亮/王赞/黄杨/刘鉴/杨沅翰/林炳宝/骆佳/陈昊明/臧一人,喜剧,西虹市丙级球队大翔队的守门员王多鱼（沈腾 饰）因比赛失利被教练开除，一筹莫展之际王多鱼突然收到神秘人士金老板（张晨光 饰）的邀请，被告知自己竟然是保险大亨王老太爷（李立群 饰）的唯一继承人，遗产高达百亿！但是王老太爷给出了一个非常奇葩的条件，那就是要求王多鱼在一个月内花光十亿，还不能告诉身边人，否则失去继承权。王多鱼毫不犹豫签下了“军令状”，与好友庄强（张一鸣 饰）以及财务夏竹（宋芸桦 饰）一起开启了“挥金之旅”，即将成为西虹市首富的王多鱼，第一次感受到了做富人的快乐，同时也发现想要挥金如土实在没有那么简单！,118分钟,2018-07-27(中国大陆), 中国大陆, 汉语普通话,803459.0,6.6,9.7%,29.3%,44.3%,13.0%,3.7%,216857.0,3632.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg
7,唐人街探案2,2018,陈思诚,陈思诚,王宝强/刘昊然/肖央/刘承羽/尚语贤/王迅/妻夫木聪/迈克尔·皮特/白灵/元华/曾江/王成思/杨金赐/范湉湉/佟丽娅/陈思诚,喜剧/动作/悬疑,唐仁（王宝强 饰）为巨额奖金欺骗秦风（刘昊然 饰）到纽约参加世界名侦探大赛，然而随着和世界各国侦探们啼笑皆非的较量，两人却发现了隐藏在这次挑战背后的更大秘密...,121分钟,2018-02-16(中国大陆), 中国大陆, 汉语普通话,714259.0,6.7,8.2%,33.3%,44.6%,10.8%,3.1%,196898.0,3995.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg
8,海王 Aquaman,2018,温子仁,大卫·莱斯利·约翰逊-麦戈德里克/威尔·比尔/乔夫·琼斯/温子仁/莫尔特·魏辛格/保罗·诺里斯,杰森·莫玛/艾梅柏·希尔德/威廉·达福/帕特里克·威尔森/妮可·基德曼/杜夫·龙格尔/叶海亚·阿卜杜勒-迈丁/特穆拉·莫里森/林路迪/迈克尔·比奇/兰道尔·朴/格拉汉姆·麦克泰维什/雷·沃纳尔/泰努伊·柯克伍德/塔穆尔·柯克伍德/丹泽尔·夸克/卡恩·古尔杜尔/奥蒂斯·丹吉/克考亚·克库毛诺/朱莉·安德鲁斯/约翰·瑞斯-戴维斯/杰曼·翰苏/索菲亚·福雷斯特/娜塔莉·萨福兰/杰克·安德鲁/汉克·阿莫斯/帕特里克·考克斯/罗伯特·朗斯特里特/德维卡·帕利赫/梅布尔·塔莫内/文森特·B·拉戈斯/加布里埃拉·佩特科娃/爱丽丝·兰斯伯里/帕特里克·艾奇逊/约翰·盖蒂尔/塔丽亚·杰德·霍尔特/罗斯·克纳汉/布拉登·刘易斯/萨尔瓦多·梅伦达/山姆·莫纳汉/温妮·穆赞贝/凯·潘塔诺/安娜·帕奇/乔恩·奎斯蒂德/迪伦·斯图默/米奇·武尔夫,动作/奇幻/冒险,许多年前，亚特兰蒂斯女王（妮可·基德曼 Nicole Kidman 饰）和人类相知相恋，共同孕育了爱情的结晶——后来被陆地人称为海王的亚瑟·库瑞（杰森·莫玛 Jason Momoa 饰）。在成长的过程中，亚瑟接受海底导师维科（威廉·达福 Willem Dafoe 饰）的严苛训练，时刻渴望去看望母亲，然而作为混血的私生子这却是奢望。与此同时，亚瑟的同母异父兄弟奥姆（帕特里克·威尔森 Patrick Wilson 饰）成为亚特兰蒂斯的国王，他不满陆地人类对大海的荼毒与污染，遂谋划联合其他海底王国发动对陆地的全面战争。为了阻止他的野心，维科和奥姆的未婚妻湄拉（艾梅柏·希尔德 Amber Heard 饰）将亚瑟带到海底世界。,143分钟,2018-12-07(中国大陆)/2018-12-21(美国), 美国 / 澳大利亚, 英语 / 毛利语 / 意大利语 / 俄语,743582.0,7.6,21.3%,43.1%,30.3%,4.5%,0.9%,224100.0,2855.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg
9,无名之辈,2018,饶晓志,饶晓志/雷志龙,陈建斌/任素汐/潘斌龙/章宇/王砚辉/九孔/马吟吟/程怡/宁桓宇/邓恩熙/谢波/范翔/赵梓冲/史策/马睿瀚/林海/邓钢,剧情/喜剧,来自乡村的笨贼眼镜（章宇 饰）和大头（潘斌龙 饰）抢了一家手机店，慌乱之中逃进坐着轮椅的单身女子嘉旗（任素汐 饰）的家中。嘉旗早已失去活着的欲望，她强横地要求俩笨贼杀死自己。另一边，某楼盘老板资金链断裂跑路，留下保安马先勇（陈建斌 饰）与讨债者周旋。马曾经是立功无数的协警，可就在转正的关头因为一场车祸毁了原本看似美好的一切。不久前他挖到一把喷子，原本打算交给当初的警察好友立功，却发现喷子被换成了水枪。而成为了新闻的手机抢劫案，让马先勇意识到喷子正在劫匪的手上。,108分钟,2018-11-16(中国大陆), 中国大陆, 汉语普通话 / 贵州话,834317.0,8.1,29.5%,48.1%,19.6%,2.4%,0.4%,223115.0,6304.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg
